Date;Mes;Ano;Gen;subGen;mmGen;Exp;subExp;mmExp;PP;Cond;Temp min;Temp max;Temp med;exp/gen
01/07/2015;7;2015;20.373;-0.514;20.116;14.343;-0.857;13.9145;3.876;Fine;12;21;16.5;0.704020027
02/07/2015;7;2015;19.859;-0.514;22.6195;13.486;5.237;16.1045;4.212;Fine;10;19;14.5;0.679087567
03/07/2015;7;2015;25.38;5.521;20.228;18.723;-8.199;14.6235;3.828;Fine;6;19;12.5;0.737706856
04/07/2015;7;2015;15.076;-10.304;16.6745;10.524;2.683;11.8655;4.26;Partly Cloudy;11;19;15;0.698063147
05/07/2015;7;2015;18.273;3.197;21.5805;13.207;4.351;15.3825;4.464;Fine;9;22;15.5;0.722760357
06/07/2015;7;2015;24.888;6.615;25.2215;17.558;3.131;19.1235;3.792;Fine;9;23;16;0.705480553
07/07/2015;7;2015;25.555;0.667;21.2345;20.689;-8.639;16.3695;3.828;Fine;10;21;15.5;0.809587165
08/07/2015;7;2015;16.914;-8.641;13.978;12.05;-5.859;9.1205;4.067;Fine;10;19;14.5;0.712427575
09/07/2015;7;2015;11.042;-5.872;11.9525;6.191;2.5;7.441;4.032;Partly Cloudy;12;18;15;0.560677414
10/07/2015;7;2015;12.863;1.821;14.9475;8.691;2.655;10.0185;2.844;Partly Cloudy;10;18;14;0.675658867
11/07/2015;7;2015;17.032;4.169;21.857;11.346;9.228;15.96;4.212;Fine;10;21;15.5;0.666157821
12/07/2015;7;2015;26.682;9.65;25.419;20.574;0.06;20.604;4.019;Fine;12;17;14.5;0.771081628
13/07/2015;7;2015;24.156;-2.526;25.2065;20.634;0.812;21.04;3.996;Fine;8;17;12.5;0.854197715
14/07/2015;7;2015;26.257;2.101;20.8915;21.446;-10.591;16.1505;3.912;Fine;9;18;13.5;0.81677267
15/07/2015;7;2015;15.526;-10.731;15.4635;10.855;-0.096;10.807;3.972;Fine;6;16;11;0.699149813
16/07/2015;7;2015;15.401;-0.125;21.3765;10.759;12.314;16.916;4.248;Fine;6;18;12;0.698591001
17/07/2015;7;2015;27.352;11.951;26.7325;23.073;-4.843;20.6515;4.116;Fine;11;16;13.5;0.843558058
18/07/2015;7;2015;26.113;-1.239;20.784;18.23;-11.371;12.5445;3.9;Fine;6;17;11.5;0.69811971
19/07/2015;7;2015;15.455;-10.658;16.758;6.859;7.87;10.794;4.248;Fine;8;18;13;0.443804594
20/07/2015;7;2015;18.061;2.606;18.4425;14.729;-1.235;14.1115;4.248;Fine;11;19;15;0.815514091
21/07/2015;7;2015;18.824;0.763;14.097;13.494;-7.251;9.8685;4.284;Fine;12;19;15.5;0.716850829
22/07/2015;7;2015;9.37;-9.454;12.6695;6.243;3.997;8.2415;3.744;Mostly Cloudy;11;19;15;0.666275347
23/07/2015;7;2015;15.969;6.599;17.6055;10.24;5.127;12.8035;4.344;Fine;15;21;18;0.641242407
24/07/2015;7;2015;19.242;3.273;15.8355;15.367;-8.136;11.299;3.912;Fine;15;22;18.5;0.798617607
25/07/2015;7;2015;12.429;-6.813;15.4515;7.231;7.14;10.801;4.104;Partly Cloudy;16;23;19.5;0.581784536
26/07/2015;7;2015;18.474;6.045;20.678;14.371;4.878;16.81;3.744;Fine;13;21;17;0.777904081
27/07/2015;7;2015;22.882;4.408;22.4215;19.249;-2.819;17.8395;4.248;Fine;14;22;18;0.841228914
28/07/2015;7;2015;21.961;-0.921;24.0455;16.43;3.558;18.209;4.308;Fine;10;18;14;0.748144438
29/07/2015;7;2015;26.13;4.169;25.516;19.988;-0.487;19.7445;3.924;Fine;9;19;14;0.764944508
30/07/2015;7;2015;24.902;-1.228;25.553;19.501;2.153;20.5775;4.332;Fine;9;20;14.5;0.78310979
31/07/2015;7;2015;26.204;1.302;25.9865;21.654;-1.505;20.9015;3.876;Fine;9;23;16;0.826362387
01/08/2015;8;2015;25.769;-0.435;26.08;20.149;1.737;21.0175;3.816;Fine;8;21;14.5;0.781908495
02/08/2015;8;2015;26.391;0.622;25.908;21.886;-2.22;20.776;3.924;Fine;10;23;16.5;0.829297867
03/08/2015;8;2015;25.425;-0.966;19.584;19.666;-9.645;14.8435;3.732;Fine;14;25;19.5;0.773490659
04/08/2015;8;2015;13.743;-11.682;21.073;10.021;15.012;17.527;3.66;Partly Cloudy;13;20;16.5;0.729171214
